"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"ue86332",5,0,0,"def41dab-a462-45f4-a3dd-ee5985fc0a55","Rothenburg Dorf","739f85f7-4fe7-46e2-a9ca-c1293c380f29","2021-06-03 09:28:00+00","2021-06-03 09:28:00+00"
"e522446",34,5,15,"184e415b-4d76-4cfd-85c2-7dd5222563a4","Croy-Romainmôtier","3dc6183f-b6ee-421f-a620-cc673c8f1a9a","2021-07-23 09:16:00+00","2021-07-23 09:16:00+00"
"e522446",21,0,0,"ffdf67bf-9257-4537-a32c-a6543df5dbfd","Arnex-sur-Orbe","77e76514-fd6a-43d7-b576-85ca5ff3b3b3","2021-07-23 09:17:00+00","2021-07-23 09:17:00+00"
"E535775",25,25,100,"f37df978-3a4e-4ab5-9d80-4cef3ce8fe40","Capolago-Riva S. Vitale","daf8cebb-05a2-4b4c-900e-27727d694ce4","2021-08-18 08:59:00+00","2021-08-18 08:59:00+00"
"E535775",26,19,73,"b5744b84-73b1-43ac-8253-b63aebc201ea","Rivera-Bironico","553c939b-aef6-4752-bc81-3514307278ad","2021-08-25 06:54:00+00","2021-08-25 06:54:00+00"
"e521492",50,14,28,"049ea6d4-5756-4fcb-8884-777d45613633","Tecknau","c324d66f-bcb3-4bdd-8375-a8a73e247dc2","2021-08-31 06:58:00+00","2021-08-31 06:58:00+00"
"E535775",37,10,27,"998cfa65-c39f-4d82-a846-72e6fa6ab220","Taverne-Torricella","271e2d60-6af0-4ad4-b9c8-0693f2977bc0","2021-09-02 09:05:00+00","2021-09-02 09:05:00+00"
"e504344",32,1,3,"7d38d0fa-5559-4083-9565-b4457a106478","Bern Bümpliz Süd","7252a20b-c1a0-4f72-b1d5-827a7c4d6fdb","2021-09-02 12:24:00+00","2021-09-02 12:24:00+00"
"E535775",37,4,11,"998cfa65-c39f-4d82-a846-72e6fa6ab220","Taverne-Torricella","3d09549e-e428-4926-892b-d5ccd0be173c","2021-09-08 07:16:00+00","2021-09-08 07:16:00+00"
"e528191",49,8,16,"1ff02c7d-9bbb-4ac5-a61f-cbb3736688c3","Thalwil","a7fc807d-fb55-4024-8434-973e43a63a4a","2021-09-12 12:36:00+00","2021-09-12 12:36:00+00"
"e510884",27,18,67,"3ccdeab9-b814-4a35-9313-eaa66aea1650","Malters","05739275-a52c-4063-a816-ea537de0fd16","2021-09-14 10:19:00+00","2021-09-14 10:19:00+00"
"e522023",54,40,74,"73c231d0-3865-4a80-b656-672e76dc57a3","Schüpfen","5a3579a0-a5bb-4055-b149-8c9daf7ca7df","2021-09-15 09:01:00+00","2021-09-15 09:01:00+00"
"e504344",32,14,44,"05b08dc8-b543-414c-9071-0d5a4b9f37d3","Zollikofen (SBB)","b8dac929-5bdd-4615-b580-9e1c6bdad382","2021-09-20 06:59:00+00","2021-09-20 06:59:00+00"
"u223758",178,135,76,"9d491f59-bace-468f-bb06-63f44c934073","Pfäffikon SZ","b78adfe8-f612-43e3-b497-5ee49bf6694d","2020-09-21 12:56:00+00","2020-09-21 12:56:00+00"
"u223758",70,8,11,"db2a52b3-44ff-4178-8256-09ae1b0b2a02","Stäfa","6d4c19bd-268a-4e48-81db-44bd97e6b414","2020-10-18 13:15:00+00","2020-10-18 13:15:00+00"
"E505061",26,6,23,"d69e6802-ddc8-4f88-bfd0-22a3d096866f","La Sarraz","5260eb9a-da48-415f-bd27-75c679c53833","2020-12-02 13:02:00+00","2020-12-02 13:02:00+00"
