,12h,24h,7d,date
190,9.944257,9.585674,10.036735,2021-06-04 04:00:00
191,9.91636,10.272729,9.92724,2021-06-04 05:00:00
192,12.051768,13.479645,13.211204,2021-06-04 06:00:00
193,17.161953,18.681137,18.648602,2021-06-04 07:00:00
194,27.436138,27.541319,27.556564,2021-06-04 08:00:00
195,47.881516,47.341526,47.341526,2021-06-04 09:00:00
196,74.24725,74.28963,74.26321,2021-06-04 10:00:00
197,87.565765,86.9281,87.607994,2021-06-04 11:00:00
198,88.47838,88.45861,88.47838,2021-06-04 12:00:00
199,86.336716,87.84778,87.80261,2021-06-04 13:00:00
200,87.76945,88.783936,88.68337,2021-06-04 14:00:00
201,89.714645,90.22202,90.24908,2021-06-04 15:00:00
202,88.47267,88.32084,88.3324,2021-06-04 16:00:00
203,83.10299,83.14371,83.14371,2021-06-04 17:00:00
204,68.57103,69.79423,69.79423,2021-06-04 18:00:00
205,54.0529,58.39541,58.39541,2021-06-04 19:00:00
206,50.892315,56.01967,56.297413,2021-06-04 20:00:00
207,55.37335,57.58707,57.58707,2021-06-04 21:00:00
208,52.091576,51.945396,51.945396,2021-06-04 22:00:00
209,38.56657,38.56657,38.56657,2021-06-04 23:00:00
210,22.382433,22.382433,22.382433,2021-06-05 00:00:00
211,14.867682,15.278184,14.864488,2021-06-05 01:00:00
212,12.145885,12.151683,12.165135,2021-06-05 02:00:00
213,9.872745,9.868127,9.868127,2021-06-05 03:00:00
214,9.245795,9.684821,9.684821,2021-06-05 04:00:00
215,8.897286,9.488794,9.488794,2021-06-05 05:00:00
216,11.079854,11.33687,11.33687,2021-06-05 06:00:00
217,15.384891,15.659437,15.659437,2021-06-05 07:00:00
218,21.757807,23.541403,22.354353,2021-06-05 08:00:00
219,24.428478,40.790962,40.287495,2021-06-05 09:00:00
220,18.839787,65.98577,65.98577,2021-06-05 10:00:00
221,24.825922,81.266846,81.266846,2021-06-05 11:00:00
222,78.43028,87.336876,87.336876,2021-06-05 12:00:00
223,86.918686,89.959564,88.77996,2021-06-05 13:00:00
224,90.3467,88.91117,90.195755,2021-06-05 14:00:00
225,90.88356,91.47333,91.47333,2021-06-05 15:00:00
226,90.08581,90.01169,89.70379,2021-06-05 16:00:00
227,86.51887,84.99024,83.41365,2021-06-05 17:00:00
228,70.419624,71.4085,71.17804,2021-06-05 18:00:00
229,58.30879,59.911663,59.85899,2021-06-05 19:00:00
230,48.138393,50.671017,53.447437,2021-06-05 20:00:00
231,48.336704,44.494396,51.708755,2021-06-05 21:00:00
232,42.486668,59.792538,42.32421,2021-06-05 22:00:00
233,29.686201,40.64067,29.548195,2021-06-05 23:00:00
234,19.22324,19.33636,19.19907,2021-06-06 00:00:00
235,13.156267,13.12601,13.19746,2021-06-06 01:00:00
236,10.4783325,10.287311,10.4783325,2021-06-06 02:00:00
237,8.909315,8.896586,8.916094,2021-06-06 03:00:00
238,9.595051,8.777519,8.818966,2021-06-06 04:00:00
239,9.116207,8.653305,8.653305,2021-06-06 05:00:00
240,10.326447,9.092166,9.103905,2021-06-06 06:00:00
241,11.917963,12.063115,11.092784,2021-06-06 07:00:00
242,13.6414795,13.58946,13.758017,2021-06-06 08:00:00
243,14.697901,15.7021,15.68206,2021-06-06 09:00:00
244,17.3481,20.570055,20.570055,2021-06-06 10:00:00
245,23.976107,28.054031,28.054031,2021-06-06 11:00:00
246,35.873245,40.63138,40.69937,2021-06-06 12:00:00
247,47.345356,54.249832,54.249832,2021-06-06 13:00:00
248,76.94742,70.160034,70.160034,2021-06-06 14:00:00
249,85.46734,82.01386,82.00077,2021-06-06 15:00:00
250,84.43294,83.959236,84.52002,2021-06-06 16:00:00
251,78.118675,77.35688,77.52078,2021-06-06 17:00:00
252,60.37314,60.378597,60.40133,2021-06-06 18:00:00
253,41.91706,41.85006,41.91706,2021-06-06 19:00:00
254,30.698452,29.934357,30.445478,2021-06-06 20:00:00
255,23.070992,29.727083,25.649738,2021-06-06 21:00:00
256,15.243644,20.167439,17.225016,2021-06-06 22:00:00
257,13.287836,14.119973,13.478797,2021-06-06 23:00:00
258,11.624567,12.304909,12.205764,2021-06-07 00:00:00
259,10.0249815,10.642339,10.311149,2021-06-07 01:00:00
260,8.5979395,8.629844,9.015454,2021-06-07 02:00:00
261,8.269945,8.435657,8.3919935,2021-06-07 03:00:00
262,9.263131,9.254098,9.010223,2021-06-07 04:00:00
263,9.862279,9.749423,9.767702,2021-06-07 05:00:00
264,11.397973,11.997786,11.997786,2021-06-07 06:00:00
265,14.119769,14.616575,14.616575,2021-06-07 07:00:00
266,21.025473,24.039946,24.039946,2021-06-07 08:00:00
267,43.856564,43.75325,43.93025,2021-06-07 09:00:00
268,67.726364,67.195946,68.91241,2021-06-07 10:00:00
269,76.17797,79.4134,82.16061,2021-06-07 11:00:00
270,84.92623,82.59554,85.61225,2021-06-07 12:00:00
271,81.65926,81.789696,83.01871,2021-06-07 13:00:00
