,12h,24h,7d,date
203,52.81583,50.000744,,2021-08-25 09:00:00
204,51.06573,51.23948,,2021-08-25 10:00:00
205,51.304665,51.831448,,2021-08-25 11:00:00
206,56.38326,52.559025,,2021-08-25 12:00:00
207,58.227898,54.16269,,2021-08-25 13:00:00
208,56.397915,53.236202,,2021-08-25 14:00:00
209,50.170574,49.93989,,2021-08-25 15:00:00
210,38.334087,39.87181,,2021-08-25 16:00:00
211,27.269552,32.158764,,2021-08-25 17:00:00
212,19.318825,22.574602,,2021-08-25 18:00:00
213,12.413153,15.969215,,2021-08-25 19:00:00
214,10.840133,13.953727,,2021-08-25 20:00:00
215,9.0929165,8.153202,,2021-08-25 21:00:00
216,6.624056,5.711558,,2021-08-25 22:00:00
217,5.433581,4.249282,,2021-08-25 23:00:00
218,6.774698,6.6907277,,2021-08-26 00:00:00
219,7.0038614,8.226319,,2021-08-26 01:00:00
220,6.0124993,7.533399,,2021-08-26 02:00:00
221,6.4160695,5.4731345,,2021-08-26 03:00:00
222,5.6255536,5.047031,,2021-08-26 04:00:00
223,12.06229,11.919461,,2021-08-26 05:00:00
224,28.04661,25.627916,,2021-08-26 06:00:00
225,42.253895,42.36974,,2021-08-26 07:00:00
226,44.895424,46.002075,,2021-08-26 08:00:00
227,54.414,49.50428,,2021-08-26 09:00:00
228,55.88707,50.199966,,2021-08-26 10:00:00
229,57.21427,50.588413,,2021-08-26 11:00:00
230,56.977993,53.215336,,2021-08-26 12:00:00
231,53.5839,52.138725,,2021-08-26 13:00:00
232,50.9087,48.930782,,2021-08-26 14:00:00
233,47.20479,45.99965,,2021-08-26 15:00:00
234,38.40366,38.543415,,2021-08-26 16:00:00
235,26.021132,26.052353,,2021-08-26 17:00:00
236,18.726776,20.20733,,2021-08-26 18:00:00
237,14.04675,15.706014,,2021-08-26 19:00:00
238,10.499418,10.789707,,2021-08-26 20:00:00
239,8.113702,8.58878,,2021-08-26 21:00:00
240,5.120085,6.644035,,2021-08-26 22:00:00
241,5.267831,5.4263916,,2021-08-26 23:00:00
242,6.622887,6.6287646,,2021-08-27 00:00:00
243,6.5016255,4.62104,,2021-08-27 01:00:00
244,5.3732557,4.598035,,2021-08-27 02:00:00
245,5.5692167,5.7672677,,2021-08-27 03:00:00
246,6.568785,6.124729,,2021-08-27 04:00:00
247,10.698182,9.948637,,2021-08-27 05:00:00
248,19.88251,24.53163,,2021-08-27 06:00:00
249,27.741394,35.14913,,2021-08-27 07:00:00
250,44.17632,41.15358,,2021-08-27 08:00:00
251,49.62782,49.57923,,2021-08-27 09:00:00
252,50.16009,53.7563,,2021-08-27 10:00:00
253,48.675034,49.96209,,2021-08-27 11:00:00
254,52.02561,51.221905,,2021-08-27 12:00:00
